"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785896007919899090","Fri May 03 07:36:58 +0000 2024","0","@Dennysiregar7 Nanti apple di ban dari indonesia nyahok... Nangis2. Wkwkwk","1786298891815772513","","Dennysiregar7","in","","0","0","0","https://twitter.com/dhryasa123/status/1786298891815772513","1061678266782601217","dhryasa123"
"1786281713750192540","Fri May 03 06:28:42 +0000 2024","0","Dividen telah dinaikkan menjadi 25 sen per saham naik dari 24 sen yang berarti imbal hasil tahunan sebesar 0 6% berdasarkan harga penutupan saham Apple pada hari Kamis di $173 03. Daftar sekarang Klik Link dibawah ini: https://t.co/CnKAYWgFF1 #ICM #ICMIndonesia #ICMtrading https://t.co/2YAujEKqae","1786281713750192540","https://pbs.twimg.com/ext_tw_video_thumb/1786281692493414400/pu/img/ZynlJ5FVEFLL2M70.jpg","","in","","0","0","0","https://twitter.com/ICMcom_id/status/1786281713750192540","1749684232627359744","ICMcom_id"
"1786269232688210227","Fri May 03 05:39:07 +0000 2024","0","Apple batalkan investasi Rp1 6 triliun di Indonesia benarkah? [BeritaBaru] https://t.co/bxLENwc7aR","1786269232688210227","","","in","Indonesia","0","0","0","https://twitter.com/BeritaBaru/status/1786269232688210227","68548140","BeritaBaru"
"1786263496730263797","Fri May 03 05:16:19 +0000 2024","1","Viral di Medsos Benarkah Apple Batal Investasi Di Indonesia? Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi mengklarifikasi isu yang beredar di media sosial mengenai pembatalan investasi Apple di Indonesia. Menurutnya klaim tersebut tidak lebih dari hoaks https://t.co/C1ZhnLoMFx","1786263496730263797","https://pbs.twimg.com/media/GMoVLYYbcAAh6HT.jpg","","in","Indonesia","0","0","0","https://twitter.com/Melihat_Indo/status/1786263496730263797","48359478","Melihat_Indo"
"1786260099008446534","Fri May 03 05:04:48 +0000 2024","0","Benarkah Apple Batal Investasi di Indonesia? Menkominfo Beri Penjelasan Begini Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi menyebut bahwa perusahaan teknologi global Apple masih memberikan sinyal yang positif untuk berinvestasi di Indonesia.","1786260597778395529","","KEBUMENinLOVE","in","
︎
︎
︎
︎
︎
︎Pulau Bidadari","0","1","1","https://twitter.com/KEBUMENinLOVE/status/1786260597778395529","2651602135","KEBUMENinLOVE"
"1786253426378092869","Fri May 03 04:36:18 +0000 2024","0","Apple Disebut Batal Investasi di Indonesia Ferdinand Hutahaean: Sudah Kuduga https://t.co/4ldPipu5Cl","1786253426378092869","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/fajaronline/status/1786253426378092869","89877164","fajaronline"
"1785883935194681437","Fri May 03 04:35:47 +0000 2024","0","@QianzyZ Kan itu negara yg dipuji2 bangsa Indonesia. China yg pro palestina di caci maki kok apple yg janji investasi terus ga jadi juga di muji2","1786253298397507757","","QianzyZ","in","South Semarang, Indonesia","0","0","0","https://twitter.com/Rndrian3010/status/1786253298397507757","735472348862648320","Rndrian3010"
"1786252084012257366","Fri May 03 04:30:58 +0000 2024","1","Apple: batal investasi di Indonesia Kominfo: hoax Which one do you believe? Yang punya uang atau yang minta uang?","1786252084012257366","","","in","","0","0","0","https://twitter.com/defr4g/status/1786252084012257366","1142281050","defr4g"
"1786246728641122401","Fri May 03 04:09:41 +0000 2024","0","Menkomnfo M.Nuh era Pres. SBY Ingatkan pemakai Hp. no.4 setelah USA Inggeris Turkey Ind. tiap thn keluar biaya Rp. 140T Menperin &amp; Menkominfo. Setelah Capres terpilih 2024 @prabowo Ungkap Hp hrs produksi di Indonesia. Walau Apple batal investasi @Bahlil88 Cari investasi lain. https://t.co/JXG1Arj05D","1786246728641122401","https://pbs.twimg.com/media/GMoFvyqaQAAgaq4.jpg","","in","jakarta ","0","0","0","https://twitter.com/KamarullahH/status/1786246728641122401","2898088374","KamarullahH"
"1786245619507765469","Fri May 03 04:05:17 +0000 2024","0","Apple gk jdi invest di Indonesia yak ? Salah satunya krna pelemahan KPK. Yg dimana Opung Luhut ngomel tentang revisi UU KPK .","1786245619507765469","","","in","Jakarta Timur, DKI Jakarta","0","0","0","https://twitter.com/FahmiAshofi/status/1786245619507765469","279965668","FahmiAshofi"
